Id;Code;Name;Parallel;SubjectId
70;03.1.2.;Значимые части слова (морфемы);5;75
71;05.04.01.;Деление на двузначное и трехзначное число;4;48
72;05.07.2.;Обособленные члены предложения;9;75
73;05.08.01.;Использование терминов при умножении;4;48
74;05.09.1.;Бессоюзное сложное предложение. Смысловые отношения между частями сложного бессоюзного предложения;9;75
75;05.10.1.;Сложное предложение с разными видами связи между частями;9;75
76;06.05.05;Правописание гласных. Обобщение;7;75
77;06.08.1.;Н/НН в суффиксах отымённых прилагательных и существительных;10;75
78;06.08.3.;Н/НН в суффиксах различных частей речи. Обобщение;7;75
79;07.01.02.;Состав русского алфавита, названия букв;5;75
80;07.02.01.;Соотношение звука и буквы;5;75
81;07.03.07.;Составные задачи в 2-3 действия;4;48
82;07.04.02.;Определение времени в часах и минутах (по часам);4;48
83;07.07.1;Знаки препинания в предложениях с обособленными членами (обобщение);10;75
84;07.09.1;Знаки препинания в предложениях с причастными и деепричастными оборотами (обобщение);7;75
85;.1.2.1;Ориентирование в содержании художественного, учебного и научно популярного текста, понимание его смысла (при чтении вслух и про себя, при прослушивании);3;88
86;.1.2.4;Определение основ (приемы, штрихи, способы) игры на музыкальном инструменте по звучанию фрагмента музыкального произведения;100;57
87;.1.2.6;Подбор заголовка, соответствующего содержанию и общему смыслу текста;3;88
88;.1.3.2;Алгоритмические конструкции;7;27
89;.1.3.5;Знание выдающихся композиторов ХХ столетия;100;57
90;.2.1.2;Особенности строения и жизнедеятельности клеток разных организмов;9;9
91;.2.2.1;Великие реформы 1860–1870-х гг. Александр II. Отмена крепостного права;9;31
92;.2.2.2;Завершение промышленного переворота. Пореформенное развитие промышленности и сельского хозяйства 1870-1890 гг.;9;11
93;.2.3.3;Атмосферное давление, ветры. Изменение атмосферного давления с высотой. Направление и сила ветра. Роза ветров. Постоянные ветры Земли.;6;12
94;.2.4.;Понимание структурно-смысловых связей текста;100;34
95;.3.1.1;Экономика и ее роль в жизни общества;7;61
96;.3.1.1;Текст как речевое произведение, продукт речевой деятельности;8;75
97;.3.2.1;Выборочное понимание нужной / интересующей информации из текста (просмотровое / поисковое чтение);7;82
98;.3.2.2;Микротема текста;8;75
99;.4.12.1;Строение и функции зрительного анализатора;9;9
100;.4.2.2;Промышленный переворот и его социальные последствия;8;31
101;.5.1.2.;Согласование времен (Concordanza dei tempi);100;34
102;.5.2.17;Имена существительные во множественном числе, образованные по правилу, и исключения;8;82
103;.5.2.4.;Притяжательные, неопределённые (nessuno, niente, molto, poco, tutto), вопросительные (che, quale, quanto) и указательные (questo, quello) прилагательные;100;34
104;.5.4.2;История развития США в первой половине XIX века. Гражданская война в США. А. Линкольн;8;32
105;005;Установление соответствия между суждениями и аргументами об обществе и человеке;9;61
106;03.2.1;Разбор слова по составу (морфемный анализ);7;75
107;04.04.02.;Использование терминов при вычитании;4;48
108;04.1.21.;Имя существительное. Лексико-грамматические разряды существительных;6;75
109;04.1.32.;Имя прилагательное. Изменения прилагательных по родам, падежам и числам;6;75
110;04.2.1.;Служебные части речи;7;75
111;06.06.1.;Правописание приставок;10;75
112;06.06.4.;Правописание слов с орфограммами в приставках и после приставок (обобщение);5;75
113;06.09.1.;Падежные окончания имён существительных;6;75
114;07.08.1.;Знаки препинания в предложениях с вводными и вставными конструкциями;9;75
115;08.01.02.;Морфема как минимальная значимая единица языка;5;75
116;08.01.03.;Словообразование и изменение форм слов;5;75
117;08.01.05.;Словообразующие и формообразующие морфемы;5;75
118;09.01.03.;Характеристика слова как лексической единицы;6;75
119;09.1.1.;Нормативное ударение;5;75
120;09.1.1.;Нормативное ударение;10;75
121;09.2.1.;Лексическая сочетаемость;10;75
122;09.3.9.;Образование форм различных частей речи;10;75
123;1;Термины ПДД;1;8
124;1;Звуки O: [əʊ]/[ɒ],U: [ju:]/[ʌ].;2;4
125;1;БИОЛОГИЧЕСКОЕ И СОЦИАЛЬНОЕ В ЧЕЛОВЕКЕ;6;61
126;1;"Аудирование с выборочным пониманием
запрашиваемой информации в несложных
звучащих аутентичных текстах";7;30
127;.1.1.1;Знание Федерального закона «Об образовании в Российской Федерации»;100;57
128;.1.2.2;Определение главной мысли, основного содержания текста;-1;88
129;.1.3.2;Знание основ истории музыкального искусства;100;57
130;.1.3.9;Знание имён отечественных и зарубежных композиторов и исполнителей джазовой музыки;100;57
131;.1.4.1;"Формулировка простых выводов, основываясь на содержании текста;  нахождение подтверждающих аргументов";-1;88
132;.1.4.2;Понимание текста, с опорой на содержащуюся в нём информацию, на некоторые его жанровые, структурные, языковые особенности;-1;88
133;.11.6.2;Цитирование. Способы включения цитат в высказывание;8;75
134;.2.1.10;Внешняя политика Александра I. Отечественная война 1812 г.;9;31
135;.2.1.12;Внутренняя политика во второй четверти XIX века. Николай I;9;31
136;.2.1.6;Экономическое развитие России в XVIII в. Кризис крепостничества;9;31
137;.2.2.3;КОНТРРЕФОРМЫ 1880-Х ГГ. Александр III;9;31
138;.2.6.3;Представление формульной зависимости в графическом виде;7;27
139;.2.8.3;Температура кипения;8;77
140;.3.2.1;Выборочное понимание нужной / интересующей информации из текста (просмотровое / поисковое чтение);5;82
141;.3.2.1;Особенности строения и жизнедеятельности грибов;9;9
142;.4.1.2;Строение и процессы жизнедеятельности организма человека;9;9
143;.4.10.2;ПОЛОВАЯ СИСТЕМА ЧЕЛОВЕКА;9;9
144;.4.10.3;Репродуктивное здоровье. Наследственные болезни, их причины и предупреждение;9;9
145;.4.3.2;ПИЩЕВАРИТЕЛЬНЫЕ ЖЕЛЕЗЫ, ферменты;9;9
146;.4.5.2;Кровь, ее состав и функции;9;9
147;.4.6.1;Технический прогресс в Новое время;8;31
148;.5.1.7.;Условный период (Periodo Ipotetico);100;34
149;.5.2.21;Имена прилагательные в положительной, сравнительной и превосходной степенях, образованные по правилу, а также исключения;8;82
150;.5.5.3;Международные отношения в Новое время. Обострение противоречий;8;31
151;03.01.01.;Текст как речевое произведение, продукт речевой деятельности;5;75
152;03.02.01.;Тема, коммуникативная установка, основная мысль текста;5;75
153;04.1.1;Различение частей речи;7;75
154;04.1.1.;Различение частей речи;6;75
155;04.1.64.;Глагол. Постоянные и непостоянные признаки глагола;6;75
156;05.04.1.;Двусоставные и односоставные предложения;11;75
157;05.07.4.;Обращения и междометия;6;75
158;05.08.1.;Сложное предложение;11;75
159;06.02.03.;Система согласных звуков;5;75
160;06.03.01.;Изменения звуков в речевом потоке;5;75
161;06.06.1.;Буквы З и С на конце приставок;9;75
162;06.07.1.;Правописание суффиксов различных частей речи (кроме -Н-/-НН-);10;75
163;06.08.1;Н/НН в суффиксах отымённых прилагательных и существительных;6;75
164;06.08.2;Н/НН в суффиксах причастий, отглагольных прилагательных и в образованных от них существительных и наречиях;7;75
165;06.09.1.;Правописание падежных и родовых окончаний;10;75
166;06.10.5.;Окончания различных частей речи;6;75
167;06.11.7;Слитное и раздельное написание НЕ с различными частями речи;7;75
168;06.16.1;Слитное и дефисное написание сложных прилагательных;6;75
169;06.16.6.;Слитное, дефисное и раздельное написание различных частей речи (обобщение);7;75
170;06.17.2.;Объяснение написания суффиксов;7;75
171;06.17.4.;Объяснение написания -Н- и -НН- в причастиях, прилагательных, наречиях;9;75
172;.1.1;НАРОДЫ И ГОСУДАРСТВА НА ТЕРРИТОРИИ НАШЕЙ СТРАНЫ В ДРЕВНОСТИ;8;31
173;.1.2.1;Ориентирование в содержании художественного, учебного и научно популярного текста, понимание его смысла (при чтении вслух и про себя, при прослушивании);-1;88
174;.1.2.8;Нахождение в тексте требуемой информации (конкретные сведения, факты, описания), заданной в явном виде;3;88
175;.1.3.3;Логические значения, операции, выражения;7;27
176;.1.3.4;Разбиение задачи на подзадачи, вспомогательный алгоритм;7;27
177;.1.3.6;Знание выдающихся отечественных и зарубежных исполнителей классической музыки;100;57
178;.1.4.4;Составление характеристики персонажа;3;88
179;.13.2.62;Знаки препинания в предложениях с обособленными членами;8;75
180;.2.1.1;Строение вещества;8;77
181;.2.2.1;Выборочное понимание необходимой / запрашиваемой информации в несложных звучащих аутентичных текстах;7;82
182;.2.2.2;Завершение промышленного переворота. Пореформенное развитие промышленности и сельского хозяйства 1870-1890 гг.;9;31
183;.2.2.5;Внешняя политика России в 1856 - 1881 гг. РУССКО-ТУРЕЦКАЯ ВОЙНА 1877–1878 ГГ.;9;11
184;.3.1.1;Понимание основного содержания аутентичных текстов на материалах, отражающих особенности быта, жизни, культуры стран изучаемого языка (ознакомительное чтение);8;82
185;.3.1.1;Особенности строения и жизнедеятельности бактерий. Разнообразие и распространение бактерий;9;9
186;.3.1.7;Проводники в электростатическом поле. Условие равновесия зарядов: внутри проводника E = 0, внутри и на поверхности проводника ? = const;11;77
187;.3.3.1;Полное и точное понимание содержания несложных аутентичных адаптированных текстов разных жанров (изучающее чтение);5;82
188;.3.4.1;Этнические общности;10;61
189;.3.5.1;Межнациональные отношения;10;61
190;.4.2.5;Эндокринная система. Железы внутренней, внешней и смешанной секреции;9;9
191;.4.6.1;Гражданское общество, его формирование, важные черты;11;61
192;.4.7.1;Обмен веществ и превращения энергии как необходимые условия жизнедеятельности организма;9;9
193;.5.2.5.;Формы правильных и неправильных глаголов во всех временах индикатива: Presente Indicativo, Passato Prossimo, Passato Remoto, Imperfetto, Futuro Semplice, Futuro Anteriore, Trapassato Prossimo, Trapassato Remoto в активном залоге.;100;34
194;.5.2.8.;Времена сослагательного наклонения (Congiuntivo Presente, Congiuntivo Passato, Congiuntivo Imperfetto, Congiuntivo Trapassato);100;34
195;.6.5.1;Основы конституционного строя Российской Федерации;9;61
196;.6.7.1;Законодательная, исполнительная и судебная власть в Российской Федерации;9;61
197;.6.9.2;Конституционные права и обязанности гражданина;9;61
198;.9.2.7;Антонимы. Словари антонимов русского языка;8;75
199;04.02.01.;Вычитание многозначных чисел;4;48
200;04.1.21.;Имя существительное. Лексико-грамматические разряды существительных;5;75
201;05.02.2.;Грамматическая основа предложения;7;75
202;05.07.1.;Осложнённое простое предложение;11;75
203;06.03.4.;О и Е(Ё) после шипящих и Ц в разных морфемах;6;75
204;06.05.05.;Правописание гласных. Обобщение;8;75
205;06.06.4.;Правописание слов с орфограммами в приставках и после приставок (обобщение);8;75
206;06.07.9.;Гласные в суффиксах разных частей речи (обобщение);10;75
207;06.11.7.;Слитное и раздельное написание НЕ с различными частями речи;10;75
208;06.16.1.;Слитное, дефисное, раздельное написание;11;75
209;09.2.1.;Лексическая сочетаемость;9;75
210;09.4.9.;Синтаксические грамматические нормы (обобщение);9;75
211;1;Виды речевой и читательской деятельности;3;45
212;1;Сложение, вычитание, умножение и деление. Алгоритмы письменного сложения, вычитания, умножения и деления многозначных чисел;4;48
213;1;Грибы. Многообразие грибов, их роль в природе и жизни человека. Съедобные и ядовитые грибы. Оказание приёмов первой помощи при отравлении грибами.;5;9
214;1;Древняя Греция;5;31
215;1;Выборочное понимание необходимой/запрашиваемой информации в несложных звучащих аутентичных текстах;5;82
216;1;Аудирование;6;30
217;1;Числа и вычисления;6;48
218;1;Великие географические открытия и их последствия;7;32
219;1;Возрождение Олимпийских игр;7;78
220;1;Атомы и молекулы. Химический элемент;9;86
221;1;Корень степени n > 1 и его свойства. Преобразования выражений, включающих корни натуральной степени;10;3
222;1;Нормативно-правовая документация регулируемая общественные отношения в сфере образования;11;76
223;1;Техническое описание компетенции «Электромонтаж»;100;92
224;1.01.1.;Природные объекты и предметы, созданные человеком. ;1;63
225;1.01.3.;Явления природы;1;63
226;1.02.1;Взаимодействие общества и природы (глобальные проблемы);8;61
227;1.03.2;Формы познания;10;61
228;1.03.2.;ОТНОСИТЕЛЬНОСТЬ СКОРОСТИ;9;77
229;1.04.1;Различение мягких и твёрдых согласных звуков;4;75
230;1.04.1;Биологическое и социальное в человеке (потребности и способности);8;61
231;1.04.2.;Различение звонких и глухих согласных звуков;3;75
232;1.05.1.;Температура воздуха, облачность, осадки, ветер;4;63
233;1.06.1;Русская изба: единство конструкции и декора;11;23
234;1.06.1.;Потребности и интересы человека;10;61
235;1.06.1.;Основы педагогики;11;76
236;1.07.1.;Ударение, произношение звуков и сочетаний звуков в соответствии с нормами современного русского литературного языка;1;75
237;1.07.1.;Документы, отражающие содержание образования;11;76
238;1.08.1;Масса и плотность вещества;7;77
239;1.09.2.;Установление соотношения звукового и буквенного состава слова в словах с гласными е, ё, ю, я;-1;75
240;1.1;Числа от нуля до миллиона;2;48
241;1.1;Человек - существо биосоциальное;8;61
242;1.1;VIII – начало XXI в.;11;32
243;1.1.1;Методы изучения живых существ: наблюдение, измерение, эксперимент, описание по плану;6;9
244;1.1.1;Географические модели: глобус, географическая карта, план местности, их основные параметры и элементы (масштаб, условные знаки, способы картографического изображения, градусная сеть);8;12
245;1.1.1;Аксиомы стереометрии, их связь с аксиомами планиметрии;10;48
246;1.1.1;Механическое движение. Относительность механического движения. Система отсчета;11;77
247;1.1.1, 1.1.3, 2.1.12;Целые числа. Дроби, проценты, рациональные числа. Применение математических методов для решения содержательных задач из различных областей науки и практики. Интерпретация результата, учёт реальных ограничений;11;48
248;1.1.1.;Восточные славяне: территория, расселение, соседи;6;11
249;1.1.1.;Природное и социальное в человеке и человеческом сообществе первобытной эпохи;10;11
250;1.1.1.;Восточные славяне: территория, расселение, соседи;11;11
251;1.1.2;Методы изучения организма человека;8;9
252;.1.1.3;Знание основ музыкальной дидактики и методики;100;57
253;.1.2.12;Князья и дружина. Вечевые порядки;10;32
254;.1.2.5;Определение жанровой принадлежности произведения по звучанию его фрагмента;100;57
255;.1.2.7;Постановка вопросов, ответы на вопросы по содержанию произведения, подтверждение ответов примерами из текста;3;88
256;.1.4.1;Основные компоненты компьютера и их функции;7;27
257;.1.4.3;Понимание информации, представленной в неявном виде, установка связей, отношений, не высказанных в тексте напрямую;3;88
258;.1.4.3;Программное обеспечение, его структура. Программное обеспечение общего назначения;7;27
259;.13.2.92;Знаки препинания при цитировании;8;75
260;.2.1.13;Общественная мысль во второй четверти XIX в.: официальная государственная идеология, западники и славянофилы, утопический социализм;9;11
261;.2.1.9;Внутренняя политика в первой четверти XIX в. М.М. Сперанский;9;31
262;.2.2.1;Выборочное понимание необходимой / запрашиваемой информации в несложных звучащих аутентичных текстах;8;82
263;.2.2.3;Медленные движения земной коры. Землетрясения и вулканизм. Внешние процессы, изменяющие земную поверхность.;6;12
264;.2.2.8;Русско-японская война 1904-1905 гг. Революция 1905–1907 гг. Государственная Дума;9;31
265;.2.3.3;Культурное развитие пореформенной России;9;11
266;.2.4.1;Внутренняя энергия;8;77
267;.2.4.3;Воды суши. Реки Земли — их общие черты и различия. Речная система. Питание и режим рек. Озёра, водохранилища, болота.;6;12
268;.3.1.;Понимание на слух основного содержания несложных звучащих текстов монологического и диалогического характера в рамках изучаемых тем (прогноз погоды, объявления, программы теле- и радиопередач, интервью, репортажи, фрагменты радиопередач);100;34
269;.3.1.1;Электризация тел;8;77
270;.3.14.2;Семья как малая социальная группа;10;61
271;.3.2.1;Взаимодействие зарядов;8;77
272;.3.4.2;Одноклеточные животные. Особенности их строения и жизнедеятельности;9;9
273;.3.4.5;Хордовые животные (Ланцетник), позвоночные животные: Рыбы, Земноводные, Пресмыкающиеся. Особенности их строения и жизнедеятельности, приспособленность к среде обитания;9;9
274;.4.4.1;Восстановление хронологической последовательности событий;9;31
275;.5.1.1;Задания на хронологию;11;32
276;.5.2.2;Местоимения: личные, возвратные, вопросительные (que, quien), указательные, притяжательные, неопределенные (cualquiera, tal, alguno), отрицательные (nada, nadie, ninguno);11;30
277;.5.3.1;Лексические единицы, обслуживающие ситуации в рамках тематики начальной и основной школы;5;82
278;.5.5.3;Международные отношения в Новое время. Обострение противоречий;8;32
279;.7.2.1;Работа с информацией, представленной в виде таблицы, графика;9;9
280;011;Налоги (виды налогов);9;61
281;03.01.02.;Понятие текста, основные признаки текста (членимость, смысловая и композиционная цельность, связность);5;75
282;03.02.01;Тема, коммуникативная установка, основная мысль текста;5;75
283;03.03.03.;Средства связи предложений в тексте (общее представление);5;75
284;05.08.6.;Сложное предложение с несколькими придаточными;9;75
285;06.05.01.;Орфоэпия как раздел лингвистики;5;75
286;06.06.4;Правописание слов с орфограммами в приставках и после приставок (обобщение);7;75
287;06.10.4.;Гласные в личных окончаниях глаголов и суффиксах причастий;7;75
288;06.11.7.;Слитное и раздельное написание НЕ с различными частями речи;6;75
289;.1.1.1;Биология в современной естественнонаучной картине мира и в практической деятельности людей;9;9
290;.1.3.4;Знание основ творчества зарубежных композиторов;100;57
291;.1.4.1;"Формулировка простых выводов, основываясь на содержании текста;  нахождение подтверждающих аргументов";3;88
292;.13.1.38;Приставки пре-, при-;8;75
293;.2.1.6;Экономическое развитие России в XVIII в. Кризис крепостничества;9;11
294;.2.1.9;Внутренняя политика в первой четверти XIX в. М.М. Сперанский;9;11
295;.2.2.4;Общественные движения второй половины XIX в.;9;31
296;.2.3.1;Атмосфера. Состав атмосферы, её структура. Значение атмосферы для жизни на Земле. Нагревание атмосферы, температура воздуха, распределение тепла на Земле.;6;12
297;.2.3.1;Вирусы и бактериофаги;9;9
298;.2.5.2;Виды теплопередачи (теплопроводность, излучение, конвекция);8;77
299;.2.5.2;Экономика фирмы;11;61
300;.3.3.3;Разнообразие растений: водоросли, мхи, папоротникообразные, голосеменные, покрытосеменные. Особенности их строения и жизнедеятельности, приспособленность к среде обитания;9;9
301;.3.4.6;Позвоночные животные: Птицы, Млекопитающие. Особенности их строения и жизнедеятельности, приспособленность к среде обитания;9;9
302;.4.2.2;Промышленный переворот и его социальные последствия;8;32
303;.4.6.7;Анализ исторического текста. Конструирование исторического текста;8;32
304;.5.2.1;Рациональное и нерациональное природопользование. Особенности воздействия на окружающую среду различных сфер и отраслей хозяйства;9;12
305;.5.2.19;Определенный, неопределенный, частичный артикли;5;82
306;.5.3.1.;Многозначность слова. Синонимы. Антонимы;100;34
307;.9.4.2;Фразеологизмы, их признаки и значение. Различия между свободными сочетаниями слов и фразеологическими оборотами;8;75
308;02.03.01.;Соотношения между единицами массы;4;48
309;02.3.1.;Нахождение и толкование фразеологизмов;6;75
310;02.4.1.;Характеристика слов по происхождению и употреблению;6;75
311;03.2.1;Разбор слова по составу (морфемный анализ);6;75
312;04.3.1.;Морфологический анализ;6;75
313;05.02.1;Простые и сложные предложения;6;75
314;05.02.1.;Простые и сложные предложения;5;75
315;05.02.2.;Грамматическая основа предложения;8;75
316;05.07.2.;Обособленные члены предложения;7;75
317;05.07.2.;Обособленные члены предложения;8;75
318;06.05.05.;Правописание гласных. Обобщение;9;75
319;06.06.4.;Правописание слов с орфограммами в приставках и после приставок (обобщение);9;75
320;06.07.6;Гласные в суффиксах глаголов, причастий, деепричастий;7;75
321;06.10.4.;Гласные в личных окончаниях глаголов и суффиксах причастий;10;75
322;06.11.1.;Слитное и раздельное написание НЕ с различными частями речи;10;75
323;06.17.2;Объяснение написания суффиксов;7;75
324;06.17.5.;Комплексный орфографический анализ;9;75
325;07;Понятие И Признаки Государства;6;61
326;07;Основные ценности и нормы морали;7;61
327;07.03.1.;Пунктуация в предложениях с причастными оборотами;8;75
328;07.04.06.;Действия с натуральными числами (обобщение);4;48
329;07.04.1.;Знаки препинания в предложениях с деепричастными оборотами;7;75
330;07.14.1.;Знаки препинания в бессоюзном сложном предложении;9;75
331;07.16.1.;Тире в простом осложнённом предложении;8;75
332;08.01.02.;Морфема как минимальная значимая единица языка;6;75
333;07.13.1.;Знаки препинания в сложном предложении с разными видами связи;9;75
334;07.18.3.;Знаки препинания в простом осложнённом и сложном предложениях (обобщение);9;75
335;07.19.02.;Объяснение пунктуации в предложениях с причастными и деепричастными оборотами;7;75
336;07.19.07.;Пунктуационный анализ сложного бессоюзного предложения;9;75
337;07.19.10;Пунктуационный анализ сложного предложения с разными видами связи;10;75
338;07.19.13;Пунктуационный анализ сложноподчинённого предложения;10;75
339;07.19.14.;Пунктуационный анализ. Обобщение;9;75
340;09;Власть. Роль Политики В Жизни Общества;6;61
341;09.3.9.;Образование форм различных частей речи;7;75
342;09.3.9.;Образование форм различных частей речи;9;75
343;09.4.9.;Синтаксические грамматические нормы (обобщение);10;75
344;1;Виды речевой деятельности;2;75
345;1;Информация. Различные подходы к определению информации;6;27
346;1;Понимание основного содержания несложных звучащих аутентичных текстов.;6;58
347;1;Аудирование;7;4
348;1;Музыка как вид искусства;7;57
349;1;Почвы и почвенные ресурсы. Меры по сохранению плодородия почв.;8;12
350;1;Прямая. Параллельность и перпендикулярность прямых. Равнобедренный и равносторонний треугольники. Свойства и признаки равнобедренного треугольника. Параллелограмм, его свойства и признаки.;8;48
